,1-ID,longtitude,magtitude
0,10285,113.346767,22.350992
205,10286,113.353873,22.345817
409,10287,113.353475,22.343872
613,10288,113.344812,22.330893
1021,10290,113.344898,22.325088
1224,10291,113.353753,22.324753
1430,10292,113.353073,22.323048
1637,10293,113.352033,22.32353
1840,10294,113.353435,22.323485
2044,10295,113.351947,22.322672
2248,10296,113.354062,22.321293
2452,10298,113.349977,22.317212
2655,10299,113.35348700000002,22.31982
2860,10300,113.352483,22.31124
3063,10301,113.358613,22.310802
3266,10302,113.354717,22.315972
3469,10303,113.349353,22.303703
3672,10304,113.344237,22.298517
3877,10305,113.33197,22.315748000000006
4083,10306,113.335883,22.308762
4324,10307,113.327745,22.304208
4530,10308,113.344638,22.264648
4733,10309,113.341192,22.262502
4937,10310,113.341577,22.265715
5317,10311,113.36105,22.270537
5520,10312,113.358307,22.272817
5723,10313,113.357075,22.273175
5926,10314,113.358428,22.284998
6130,10315,113.358662,22.293057
6335,10316,113.358942,22.27928
6538,10317,113.358353,22.300102
6741,10318,113.359093,22.300112
6945,10319,113.35847,22.301052
7148,10320,113.358472,22.305177
7351,10321,113.357983,22.313203
7558,10322,113.356898,22.304482
7761,10323,113.355193,22.303408
7964,10324,113.358513,22.303328
8169,10325,113.345413,22.285877
8372,10326,113.347277,22.267258
8576,10327,113.358443,22.306933
8795,10328,113.347085,22.301842
8999,10329,113.353682,22.323685
