,1-ID,longtitude,magtitude
0,57912,113.352705,22.321318
203,57921,113.34317,22.315845
434,57946,113.353378,22.329923
637,58032,113.355028,22.319555
842,58350,113.342347,22.336798
1045,58459,113.360018,22.330197
1249,58758,113.342423,22.263865
1454,58831,113.346235,22.260723
1657,59112,113.356293,22.325632
1860,59139,113.354727,22.34277
2073,59174,113.336815,22.327757
2277,59274,113.345098,22.341043
2482,59287,113.357123,22.301888
2685,59322,113.350988,22.323052
2888,59328,113.346047,22.32542
3091,59338,113.34386200000002,22.329452
3295,59714,113.350095,22.324155
3500,59720,113.352033,22.324462
3703,59740,113.34103799999998,22.306302
