,1-ID,longtitude,magtitude
0,23585,113.369802,22.677578
203,31912,113.353808,22.67703
406,32188,113.354308,22.628675
612,57932,113.35121,22.668218
815,57947,113.34786,22.669982
1018,57989,113.343172,22.668037
1222,58035,113.357377,22.669592
1426,58046,113.33331499999998,22.652812
1629,58048,113.347168,22.666708
1833,58195,113.350498,22.658717000000006
2038,58261,113.344348,22.673357
2647,58296,113.347593,22.634628
2852,58311,113.324108,22.673828
3055,58341,113.324507,22.670822
3260,58414,113.325362,22.652708
3463,58476,113.358917,22.674068
3669,58477,113.321752,22.680437
3873,58479,113.356882,22.642245000000006
4077,58481,113.341803,22.667327
4280,58485,113.357988,22.648265
4485,58490,113.351917,22.6751
4688,58648,113.340382,22.669622
4893,58650,113.35233,22.641057
5097,58803,113.316643,22.671212
5300,58823,113.35544,22.666123
5504,58849,113.36585,22.667147
5707,58969,113.35163,22.663813
5910,59113,113.370387,22.642227
6114,59175,113.34856299999998,22.66354
6317,59219,113.375462,22.64034
6527,59231,113.359163,22.635767
6762,59313,113.34877,22.671832
6980,59359,113.328335,22.680912
7185,59492,113.347952,22.664698
7388,59507,113.309377,22.67189
7592,59533,113.336473,22.681463
7828,59537,113.352683,22.670902
8031,59539,113.351285,22.673693
8234,59595,113.3222,22.649317
8438,59604,113.353495,22.666757
8641,59608,113.346112,22.662388
8844,59639,113.331183,22.686315
9048,59653,113.348248,22.67326
9251,59654,113.35848,22.641855
9454,59656,113.346623,22.6676
9657,59659,113.344653,22.6695
9860,59662,113.348072,22.670413
10064,59667,113.349095,22.667823
10268,59723,113.346522,22.665313
10472,59771,113.35258,22.673737
10675,59811,113.351383,22.660745
10878,59814,113.329197,22.67881
11083,59853,113.346072,22.674467
11287,59882,113.355112,22.664587
11490,59902,113.35115,22.633593
11695,59908,113.344545,22.651357
11899,59945,113.354342,22.665927
