,1-ID,longtitude,magtitude
0,10913,113.250642,22.698058
335,10914,113.251525,22.696362
538,10915,113.252812,22.69513
741,10916,113.250353,22.696005
946,10917,113.250553,22.694143
1150,10918,113.24882,22.692962
1353,10920,113.258462,22.685635
1556,10921,113.256583,22.689673000000006
1759,10922,113.254648,22.692593
1962,10923,113.24859,22.689738
2166,10924,113.250555,22.68623
2369,10925,113.24571,22.693525
2572,10926,113.249258,22.696908
2777,10927,113.258055,22.698725
2980,10928,113.25068,22.69072
3183,10929,113.247467,22.688547
3387,10930,113.246132,22.691907
3590,10931,113.246242,22.691385
3797,10932,113.262143,22.695438
4001,10933,113.250528,22.684287
4205,10934,113.255263,22.683383
4408,10935,113.259367,22.69469
4611,10937,113.23802,22.692717
5252,10938,113.243707,22.688375
5456,10939,113.242802,22.687478
5660,10940,113.241573,22.686703
6275,10941,113.24518,22.690167
6479,10942,113.246085,22.689255
6682,10943,113.243597,22.691408
7089,10945,113.249055,22.684605
7292,10947,113.242635,22.692733
7496,10948,113.242157,22.6966
7701,10950,113.248537,22.701163
7904,10951,113.25278,22.704263
8107,10952,113.240098,22.700185
8310,10953,113.235745,22.699778
8514,10954,113.241728,22.69414
8717,10955,113.24593,22.696812
8922,10956,113.248248,22.70528
9125,10957,113.24947,22.706362
9328,10958,113.247442,22.707858
9531,10959,113.24993,22.704002
9734,10960,113.250535,22.70449
10142,10962,113.248697,22.706405
10347,10963,113.250177,22.70289
10550,10964,113.239877,22.710483
10849,10965,113.240315,22.7106
11052,10966,113.226597,22.717268
11255,10967,113.224382,22.718573000000006
11463,10969,113.245093,22.720188
11666,10970,113.247983,22.728487
11869,10971,113.23386,22.732978
12072,10972,113.254643,22.723172
12277,10973,113.252608,22.731755
12480,10974,113.24133799999998,22.730952
12684,10975,113.243382,22.730853
12888,10976,113.249347,22.727447
13092,10977,113.248837,22.727812
13298,10978,113.25196499999998,22.7307
13502,10979,113.26023,22.709785
13705,10980,113.26573,22.720385
13908,10981,113.246292,22.711178
14112,10982,113.263653,22.70198
14316,10983,113.274305,22.70993
14519,10984,113.264892,22.711578
14723,10985,113.263778,22.695302
14926,10986,113.266417,22.70989
15129,10987,113.273575,22.688288
15334,10988,113.277845,22.682798
15537,10989,113.281682,22.687615
15809,10990,113.276877,22.689372
16013,10991,113.281123,22.683852
16217,10992,113.287118,22.675218
16420,10993,113.286747,22.68363
16623,10994,113.284232,22.673445
16827,10995,113.275915,22.684712
17030,10996,113.300192,22.67274
17236,10997,113.307257,22.676308
17439,10998,113.29764,22.673397
17643,10999,113.300345,22.681347
17846,11000,113.271488,22.67368
18049,11001,113.27457,22.6772
18252,11002,113.282753,22.666808
18456,11003,113.277057,22.661202
18661,11004,113.264403,22.678568
18864,11005,113.27203,22.679278
19084,11006,113.287905,22.66667
19287,11007,113.285382,22.656453
19491,11008,113.298995,22.662915
19694,11009,113.304152,22.632718
19976,11010,113.312287,22.637487
20179,11011,113.311603,22.641213
20382,11012,113.252282,22.694817
20788,11015,113.244695,22.690687
21195,11017,113.250272,22.701907
21605,11019,113.24284,22.698625
22011,11021,113.273898,22.710245
22214,11023,113.229947,22.730058
22293,11024,113.304005,22.632908
22496,11025,113.26128,22.699193
22902,11027,113.278888,22.682235
23105,11028,113.287935,22.669367
23310,11029,113.252128,22.729765
23515,11030,113.261875,22.697813
23718,11031,113.232003,22.729798
23797,31629,113.241918,22.69735
