,1-ID,longtitude,magtitude
0,10716,113.349142,22.668648
203,10717,113.346802,22.670482
406,10718,113.351093,22.665035
610,10719,113.35201,22.665708
814,10721,113.351717,22.659262
1018,10722,113.344382,22.669488
1222,10723,113.351662,22.670855
1425,10724,113.35193999999998,22.670663
1637,10725,113.349075,22.667857
1841,10726,113.350708,22.667358
2045,10727,113.35038,22.670592000000006
2248,10728,113.350625,22.668748
2451,10729,113.349077,22.667333
2654,10730,113.356232,22.626997
2857,10731,113.338153,22.639245000000006
3264,10733,113.344443,22.66672
3467,10734,113.346095,22.669478
3670,10735,113.325483,22.686517
3873,10736,113.352068,22.667757
4077,10737,113.351737,22.669078
4686,10738,113.349082,22.670003
4889,10739,113.354462,22.673425
5101,10740,113.352192,22.653275
5312,10741,113.34158,22.669527
5515,10742,113.32326299999998,22.670913
5720,10743,113.338795,22.677748
5929,10744,113.324398,22.67233
6132,10745,113.3235,22.679683
6339,10746,113.314198,22.671542
6549,10747,113.305778,22.672112
6754,10748,113.33671499999998,22.67001
6957,10749,113.364495,22.644847
7161,10750,113.356662,22.639532
7364,10751,113.351498,22.67237
7567,10752,113.342227,22.636582
7771,10753,113.342755,22.667052
7974,10754,113.353472,22.679138
8181,10755,113.34369,22.671283
8384,10756,113.350513,22.67763
8587,10757,113.352898,22.682205
8790,10758,113.344368,22.667868
8994,10759,113.353928,22.670547
9603,10760,113.352868,22.667607
9808,10761,113.343118,22.668498
10034,10762,113.32686499999998,22.64669
10238,10763,113.333297,22.669992
10441,10764,113.312313,22.679045
10644,10765,113.318148,22.681458
10848,10767,113.345993,22.663935
11053,10768,113.34395,22.685497
11256,10769,113.340115,22.667707
11459,10770,113.31025,22.671693
11662,10771,113.331702,22.67037
11866,10772,113.349053,22.643320000000006
12069,10773,113.369655,22.664613
12273,10774,113.369077,22.663528
12476,10775,113.355985,22.636183
12679,10776,113.34638,22.662725
12883,10777,113.375575,22.673568
13086,10778,113.374205,22.647068
13289,10779,113.361845,22.646295
13493,10780,113.361625,22.641825
13697,10781,113.357898,22.648157
13900,10782,113.355465,22.67897
14107,10783,113.302977,22.671165
14311,10784,113.31307,22.659873
14514,10786,113.314665,22.675675
14717,10787,113.316977,22.66775
14920,10788,113.351648,22.636603
15123,10789,113.366885,22.656462
15327,10790,113.372015,22.675355
15530,10791,113.348548,22.661672
16548,10796,113.30497,22.672418
16754,30924,113.351863,22.666162
