,1-ID,longtitude,magtitude
0,31908,113.503758,22.516225
124,31911,113.504877,22.534858
327,37303,113.523862,22.514598
530,37379,113.537715,22.520562
733,56344,113.535818,22.445187
936,57910,113.548992,22.484712
1139,57914,113.542288,22.477177
1364,57916,113.563665,22.555253
1567,57929,113.529392,22.485442000000006
1770,57955,113.49846,22.431467
1975,57959,113.488725,22.524695
2179,57966,113.515725,22.512792
2383,57997,113.519727,22.448
2587,58002,113.522842,22.502203
2791,58004,113.495355,22.511197
3001,58014,113.529535,22.50052
3205,58015,113.527027,22.497902
3408,58018,113.502185,22.524045
3611,58019,113.54922,22.474948
3814,58020,113.53256,22.444958
4018,58022,113.479353,22.529933
4221,58024,113.539192,22.488508
4424,58028,113.525297,22.49684
4628,58037,113.510777,22.440767
4832,58040,113.495457,22.509407
5035,58056,113.52936499999998,22.495722
5245,58129,113.536292,22.482682
5449,58131,113.514492,22.47944
5654,58272,113.542715,22.465492
5857,58278,113.528655,22.485958
6060,58297,113.528322,22.496875
6264,58452,113.52608,22.502028
6468,58456,113.526577,22.502992000000006
6672,58457,113.529728,22.490027
6876,58462,113.53121000000002,22.488997
7079,58467,113.519028,22.49284
7283,58470,113.527257,22.420683
7486,58518,113.531135,22.48183
8095,58524,113.517118,22.444528
8298,58537,113.548182,22.478117
8501,58538,113.522488,22.509593
8775,58539,113.528338,22.501307
8979,58541,113.532137,22.447858
9182,58551,113.529142,22.452515
9385,58570,113.550455,22.525582
9589,58632,113.529525,22.44802
9810,58686,113.54319,22.485197
10014,58808,113.507385,22.51187
10217,58818,113.521727,22.510202
10420,58834,113.528468,22.515077
10623,58837,113.543973,22.479902
10829,58878,113.527852,22.436428
11032,58890,113.567927,22.558752
11319,58893,113.560575,22.545465
11850,58898,113.562817,22.549793
12055,59135,113.499648,22.511378
12258,59136,113.546418,22.475243
12461,59138,113.530073,22.514942
12665,59144,113.50326,22.510938
12868,59146,113.553263,22.456452
13077,59148,113.52943799999998,22.515537
13280,59152,113.508768,22.515013
13485,59163,113.524503,22.499292
13688,59178,113.534038,22.460657
13945,59179,113.544412,22.485837
14150,59193,113.492262,22.507737
14354,59207,113.52576299999998,22.486425
14557,59212,113.545697,22.491347
14760,59233,113.53398,22.518612
14964,59235,113.530628,22.498492
15167,59237,113.550228,22.482568
15371,59249,113.51939,22.494825
15575,59250,113.52953,22.484405
15778,59256,113.569018,22.56104
15981,59258,113.529373,22.427317
16185,59337,113.519453,22.487503
16397,59341,113.522545,22.495688
16605,59342,113.532063,22.486272
16808,59347,113.528343,22.500023
17011,59363,113.519922,22.504068
17215,59367,113.53547,22.4919
17418,59380,113.52976,22.490965
17621,59397,113.548178,22.467157
17824,59594,113.534527,22.458023
18031,59610,113.521537,22.48984
18234,59711,113.530745,22.49657
18439,59793,113.523508,22.50865
19102,59802,113.53185,22.49491
19306,59872,113.525933,22.500117000000003
19509,59885,113.52974,22.499493
19712,59935,113.529903,22.420545
75783,59232,113.52278,22.493142
