,1-ID,longtitude,magtitude
0,34003,113.352498,22.51581
203,34014,113.334727,22.562853
406,36570,113.332977,22.565647
610,36579,113.3294,22.565525
813,36621,113.338063,22.558465
1016,36629,113.346082,22.534508
1222,36630,113.336445,22.560937
1425,36635,113.340153,22.522488
1628,36641,113.338675,22.518827
1828,57937,113.317305,22.558047
2032,57965,113.34292,22.521987
2235,57976,113.359908,22.527087
2438,57986,113.353678,22.525007
2643,58017,113.343868,22.53166
2847,58026,113.349223,22.543327
3051,58027,113.35297,22.526732
3255,58034,113.351235,22.527533
3458,58058,113.344515,22.529505
3661,58135,113.346658,22.533895
3864,58138,113.352115,22.532485
4067,58209,113.321213,22.554447
4270,58221,113.357147,22.522385
4476,58242,113.353535,22.522527
4679,58243,113.35438,22.522168
4882,58292,113.340407,22.529872
5085,58334,113.319562,22.572068
5289,58344,113.343653,22.526523
5492,58345,113.341685,22.533065
5785,58346,113.33861,22.555833
5989,58358,113.334558,22.564152
6193,58365,113.349127,22.567672
6397,58396,113.354547,22.51764
6601,58428,113.371835,22.479177
7048,58442,113.324142,22.573072
7251,58463,113.338968,22.52094
7456,58466,113.323055,22.574222
7660,58484,113.352177,22.521387
7865,58520,113.350608,22.57163
8082,58522,113.336468,22.549297
8285,58529,113.346293,22.57112
8488,58530,113.340855,22.523723
8691,58535,113.34313,22.5256
8894,58547,113.335777,22.552567
9097,58636,113.343275,22.519820000000006
9300,58681,113.342092,22.519763
9503,58691,113.340498,22.528197
9706,58784,113.34742,22.533037
9914,58787,113.348023,22.573085
10117,58790,113.327792,22.579542
10322,58797,113.337397,22.561615
10526,58800,113.337552,22.548293
10734,58801,113.338747,22.550628
10937,58813,113.346657,22.542713
11140,58815,113.341925,22.523032
11344,58820,113.329227,22.574065
11547,58891,113.338828,22.554062
11750,58894,113.336698,22.55092
11953,58897,113.334245,22.561748
12156,58900,113.34403799999998,22.53026
12360,58906,113.336292,22.561543
12564,58907,113.337027,22.549413
12767,58909,113.33536200000002,22.560843
12970,58910,113.32224,22.574047
13173,58975,113.329653,22.584362
13377,58982,113.340207,22.540958
13580,58987,113.354678,22.515062
13783,58990,113.325815,22.560317
13986,58991,113.335482,22.555813
14189,59030,113.351835,22.520197
14392,59074,113.35097,22.527412
14595,59079,113.326753,22.57791
14800,59088,113.335115,22.563977
15003,59089,113.331453,22.571975
15207,59106,113.325623,22.57638
15410,59110,113.346513,22.531673
15613,59185,113.34413,22.568635
15816,59197,113.35675,22.526972
16022,59216,113.358808,22.531883
16225,59259,113.32178,22.577852
16428,59269,113.3582,22.529658
16632,59278,113.32166200000002,22.553627
16836,59282,113.346765,22.521423
17039,59327,113.352155,22.521087
17242,59336,113.346013,22.552428
17445,59344,113.34923,22.526525
17651,59352,113.357315,22.546257
17854,59354,113.354065,22.526075
18057,59388,113.360303,22.522718
18262,59390,113.333958,22.56536
18465,59411,113.347222,22.55245
18668,59416,113.351607,22.511077
18872,59417,113.323697,22.566978
19080,59423,113.358133,22.541953
19287,59428,113.324502,22.561598
19490,59430,113.353757,22.522422
19694,59505,113.338493,22.561353
19897,59510,113.334972,22.562242
20101,59632,113.342565,22.536813
20304,59637,113.345973,22.537813
20507,59640,113.348697,22.519282
20710,59641,113.342332,22.566253
20915,59642,113.351802,22.522348
21116,59645,113.325917,22.57088
21320,59712,113.349677,22.541992
21523,59727,113.322005,22.571885
21727,59736,113.328677,22.583425
21930,59742,113.349478,22.519727
22134,59783,113.338208,22.525878
22337,59812,113.357418,22.524042
22544,59815,113.32268700000002,22.574298
22747,59823,113.320555,22.57084
22950,59825,113.32245,22.573913
23153,59826,113.32568700000002,22.574575
23356,59827,113.355557,22.523532
23559,59830,113.337357,22.565322
24162,59868,113.350783,22.539302
24365,59873,113.348223,22.523207
24568,59952,113.355708,22.544388
24773,59955,113.341225,22.557968
24976,59961,113.348523,22.521828
