,1-ID,longtitude,magtitude
0,2010,113.388833,22.501815
203,23544,113.436277,22.495607
411,23546,113.403705,22.506525
614,23553,113.399142,22.555853
817,23575,113.442033,22.494225
1022,23582,113.41197,22.544537
1225,3008,113.395622,22.514312
1428,30781,113.394835,22.496248
1631,31037,113.379853,22.501168
1834,31042,113.38297,22.518853
2039,33676,113.385268,22.518245
2242,33998,113.41627,22.516313
2445,34000,113.398198,22.532268
2648,34009,113.396612,22.514218
2851,34015,113.401312,22.505565
3054,36569,113.437202,22.500285
3257,36573,113.411368,22.50709
3460,36577,113.383078,22.50669
3664,36583,113.389272,22.508745
3869,57978,113.401143,22.529537
4072,58021,113.413572,22.509417000000006
4276,58050,113.42116,22.499252
4479,58133,113.3871,22.515133
4682,58220,113.417545,22.497152
4885,58223,113.383248,22.521338
5089,58236,113.405178,22.519923
5293,58262,113.405622,22.545807
5500,58269,113.402347,22.50327
5703,58273,113.40217,22.515087
5907,58349,113.388702,22.520887
6111,58370,113.412405,22.518595
6315,58394,113.398218,22.509453
6517,58395,113.399113,22.543022
6721,58404,113.39618,22.516283
6924,58408,113.441885,22.497735
7128,58483,113.414475,22.517378
7413,58527,113.379375,22.516362
7618,58534,113.397438,22.510477
7821,58635,113.409867,22.502613
8024,58638,113.409298,22.551423
8228,58639,113.375417,22.511007
8431,58645,113.391308,22.50495
8634,58651,113.403748,22.517753
8837,58653,113.440477,22.489195
9041,58666,113.421755,22.512443
9245,58670,113.406798,22.525825
9448,58672,113.414387,22.515555
9652,58692,113.409845,22.523683
9707,58777,113.392385,22.50549
9911,58779,113.382795,22.508067
10319,58794,113.404648,22.501522
11056,58810,113.417237,22.510888
11259,58816,113.406535,22.514783
11462,58817,113.377872,22.520255
11667,58826,113.407518,22.528048
11870,58838,113.417847,22.50931
12073,58852,113.387613,22.48743
12280,58875,113.377372,22.503755
12482,58880,113.372752,22.497285
12686,58901,113.38721,22.51672
12889,58904,113.414388,22.519513
13092,58952,113.407107,22.543615
13296,58957,113.43753,22.498523
13500,58961,113.393398,22.519353
13705,58971,113.394632,22.511507
13908,58979,113.374332,22.50667
14112,59031,113.414933,22.51839
14315,59063,113.390805,22.511467
14520,59069,113.39246,22.506338
14724,59098,113.381623,22.515505
14928,59145,113.427367,22.513478
15131,59161,113.439958,22.49674
15334,59168,113.384838,22.522417
15537,59190,113.406077,22.504168
15745,59211,113.390563,22.520175
15948,59225,113.398795,22.50151
16151,59293,113.400723,22.515217
16355,59295,113.392343,22.498775
16559,59366,113.39812,22.533592
16763,59370,113.419827,22.51158
16967,59409,113.380207,22.519838
17170,59420,113.413992,22.506515
17375,59424,113.407323,22.521245
17579,59429,113.391583,22.509678
17783,59456,113.38858,22.51806
17987,59471,113.396953,22.512682
18190,59479,113.397173,22.534482
18393,59491,113.420073,22.5133
18596,59496,113.395597,22.509992
18799,59511,113.387818,22.503648
19002,59542,113.379325,22.504122
19206,59554,113.428078,22.499852
19409,59558,113.376995,22.502625
19617,59638,113.400115,22.504622
19821,59646,113.40033,22.507638
20024,59650,113.39903,22.53424
20227,59719,113.411897,22.547697
20432,59728,113.409893,22.55575
21020,59730,113.394532,22.507012
21223,59756,113.415218,22.50882
21427,59769,113.386117,22.507407
21630,59773,113.41307,22.494313
21833,59792,113.38748,22.506598
22043,59813,113.397307,22.525577
22246,59818,113.402372,22.539318
22450,59820,113.374352,22.504035
22653,59821,113.404593,22.540387
22857,59860,113.405043,22.53716
23065,59861,113.396607,22.505103
23333,59871,113.389513,22.510847
23536,59878,113.373712,22.496032
23737,59879,113.387052,22.513243
23940,59888,113.38926200000002,22.505013
24144,59954,113.399907,22.502903
55950,58282,113.384993,22.51743
