,1-ID,longtitude,magtitude
0,2005,113.288337,22.586898
204,58067,113.23706,22.620687
407,58076,113.26339,22.64552
610,58079,113.26387,22.64945
814,58167,113.226743,22.66944
1017,58169,113.23358799999998,22.670608
1220,58172,113.224883,22.676632
1426,58177,113.23196000000002,22.664078
1629,58182,113.231875,22.671588
1833,58506,113.207193,22.68459
2433,58581,113.217703,22.661278
2637,58612,113.221872,22.686853
2840,58615,113.21858,22.675197
3449,58623,113.223082,22.672373
3654,58624,113.262902,22.654815
3857,58628,113.26627,22.651598
4064,58629,113.207728,22.662187
4268,58700,113.227583,22.686448
4471,58703,113.24337,22.622793
4678,58704,113.221897,22.646543
4886,58705,113.233332,22.691103
5089,58706,113.264648,22.65114
5292,58709,113.230563,22.674562
5495,58711,113.261372,22.64968
5699,58712,113.247262,22.672695
5903,58713,113.239935,22.685055
6114,58716,113.230362,22.66623
6723,58728,113.237962,22.671677
6927,58735,113.243358,22.647313
7130,58776,113.24275,22.670517
7333,58912,113.218925,22.699382
7536,58913,113.218758,22.660512
7739,58916,113.23299,22.661212
7942,58919,113.231323,22.665843
8147,58922,113.254198,22.673002
8350,58950,113.238388,22.686715
8553,59315,113.230383,22.663235
8756,59436,113.255408,22.66593
8959,59443,113.24018999999998,22.673142
9162,59465,113.22763700000002,22.675602
9365,59514,113.226875,22.657155
9568,59519,113.229835,22.681027
9773,59575,113.223853,22.640677
9976,59581,113.229483,22.66998
10179,59583,113.231085,22.67153
10382,59587,113.228637,22.671808
10587,59588,113.26387,22.650282
10790,59616,113.24604,22.650732
10995,59617,113.236443,22.668283
11204,59620,113.24564,22.661795
11407,59621,113.257503,22.630358
11610,59673,113.226695,22.67515
11814,59679,113.222957,22.64842
12019,59682,113.22188,22.62259
12225,59688,113.244815,22.623482
12449,59836,113.225748,22.674798000000006
12652,59849,113.223395,22.686653
12856,59925,113.227445,22.681332
13061,59965,113.262312,22.581832
169870,58173,113.233157,22.668278
