,1-ID,longtitude,magtitude
0,10187,113.27944,22.47424
203,10188,113.30579,22.479022
407,10189,113.284647,22.486523
813,10191,113.280383,22.471577
1016,10192,113.28669,22.470982
1221,10193,113.298833,22.473677
1424,10194,113.281852,22.46401
1635,10195,113.28902,22.463255
1838,10196,113.299168,22.473262
2041,10197,113.295202,22.472692
2244,10198,113.28283,22.471223
2448,10199,113.281975,22.47291
2651,10200,113.281045,22.4735
2854,10201,113.295575,22.467755
3059,10202,113.252228,22.454783
3262,10203,113.245767,22.47069
3465,10204,113.267333,22.462087
3669,10205,113.253105,22.464915
3874,10206,113.270962,22.463318
4079,10207,113.274515,22.475375
4282,10208,113.254773,22.446207
4486,10209,113.271432,22.462087
4690,10210,113.270958,22.463743
4893,10211,113.27762,22.468155
5099,10212,113.258003,22.459662
5302,10213,113.270342,22.493995
5506,10214,113.270898,22.494798
5709,10215,113.246617,22.481123
5912,10216,113.2641,22.506468
6115,10217,113.25487,22.486368
6318,10218,113.280558,22.474163
6521,10219,113.269175,22.470833
6724,10220,113.283957,22.467205
6928,10221,113.280623,22.474797
7131,10222,113.284235,22.47912
7334,10223,113.286473,22.48277
7537,10224,113.278122,22.477005
7740,10225,113.27623,22.48486
7945,10226,113.283455,22.47631
8149,10227,113.291007,22.472155
8354,10228,113.302103,22.47575
8557,10229,113.293553,22.469622
8762,10230,113.278408,22.471915
8966,10231,113.278945,22.471207
9169,10232,113.28205,22.480565
9400,10233,113.278653,22.472715
9604,10234,113.28091,22.47614
9807,10235,113.288467,22.469215
10010,10236,113.289748,22.463637
10417,10238,113.280458,22.471885
10621,10239,113.28718,22.473062
10824,10240,113.29656,22.471083
11027,10241,113.295498,22.470333
11231,10242,113.282028,22.471668
11639,10244,113.279397,22.477418
11842,10245,113.281028,22.476797
12045,10246,113.28096,22.475078
12252,10247,113.295457,22.477028
12457,10248,113.275367,22.463612
12660,10249,113.27413500000002,22.463113
12864,10250,113.273623,22.467855
13067,10251,113.276208,22.468737
13270,10252,113.266355,22.461143
13472,10253,113.27613,22.466342
13690,10254,113.274283,22.470968
13893,10255,113.261125,22.459772
14096,10256,113.272233,22.465555
14299,10257,113.271875,22.469258
14504,10258,113.265607,22.46179
14707,10259,113.271743,22.466353
14910,10260,113.276398,22.474577
15113,10261,113.300103,22.478117
15722,10262,113.268897,22.462562
15925,10263,113.27363,22.46858
16128,10264,113.249947,22.47206
16331,10265,113.272612,22.473215
16536,10266,113.270352,22.465692
16740,10267,113.268032,22.493883
17146,10269,113.258687,22.490168
17350,10270,113.250327,22.485455
17553,10271,113.267728,22.460612
17756,10272,113.256042,22.488687
18162,10274,113.251967,22.484695
18570,10276,113.263018,22.492422
18773,10277,113.272033,22.473918
18976,10278,113.27373,22.47457
19180,10279,113.276948,22.468247
19795,10280,113.280142,22.47157
19998,10282,113.280555,22.473265
20201,10284,113.25279,22.469065
