,1-ID,longtitude,magtitude
0,15670,113.429452,22.353518
203,18211,113.433478,22.362857
406,18212,113.416352,22.351525
609,18519,113.429093,22.359765
812,18520,113.41928,22.357023
1015,33731,113.431255,22.356612
1218,33743,113.356192,22.354373
1421,33746,113.387597,22.353128
1624,33750,113.358432,22.358658
1828,33761,113.426827,22.349262
2033,36575,113.400248,22.339703
2238,37407,113.43113999999998,22.359393
2441,50938,113.466868,22.354135
2644,57924,113.35587,22.350445
2847,57935,113.387152,22.3384
3050,57941,113.419302,22.353685
3255,57949,113.385725,22.349672
3458,57956,113.444358,22.347497
3661,57974,113.411817,22.35686
3865,58036,113.362162,22.355572
4068,58051,113.459375,22.325925
4273,58065,113.38546200000002,22.353983
4478,58123,113.414277,22.363665
4681,58137,113.385872,22.350437
4885,58175,113.468422,22.355305
5089,58203,113.432045,22.381725
5292,58215,113.469272,22.318292
5495,58226,113.431155,22.360572
5698,58228,113.425643,22.357473
5902,58238,113.37301,22.355388
6105,58294,113.424355,22.356242
6308,58304,113.462592,22.32005
6511,58305,113.468552,22.352885
6714,58328,113.427688,22.359047
6918,58343,113.474858,22.3669
7121,58398,113.435033,22.360135
7324,58399,113.435525,22.366975
7531,58406,113.42693,22.355352
7734,58409,113.442803,22.353642
7937,58415,113.43185,22.361735
8140,58419,113.451763,22.326202
8342,58420,113.468818,22.357265
8365,58433,113.432237,22.356903
8570,58444,113.437828,22.360468
8773,58450,113.448253,22.355153
9606,58478,113.4606,22.322803
9811,58488,113.426128,22.3605
10014,58507,113.38626200000002,22.353818
10225,58514,113.421468,22.361448
10428,58519,113.465455,22.322987
10631,58531,113.358085,22.358562
10837,58536,113.42287,22.368663
11043,58604,113.383373,22.34916
11246,58643,113.42023,22.352625
11449,58673,113.425668,22.362578
11652,58730,113.381187,22.351465
11856,58814,113.359493,22.357692
12059,58839,113.425415,22.364907
12263,58845,113.39513,22.350182
12470,58865,113.439797,22.361978
12673,58868,113.435537,22.361887
12876,58869,113.418567,22.346708
13079,58917,113.426283,22.338482
13282,59015,113.426198,22.365617
13385,59108,113.45001200000002,22.359048
13588,59122,113.457345,22.368297
13791,59125,113.425157,22.34549
13995,59130,113.358387,22.358275
14199,59149,113.373227,22.35571
14402,59169,113.434712,22.361015
14606,59181,113.37487,22.35095
14811,59187,113.356165,22.363775
15015,59356,113.382405,22.354498
15219,59368,113.41812,22.367462
15422,59383,113.461638,22.328568
15626,59509,113.45512,22.326368
15830,59520,113.455478,22.358222
16033,59555,113.427295,22.35902
16236,59560,113.453707,22.326965
16439,59597,113.427117,22.365297
16643,59611,113.416737,22.358428
16847,59655,113.418325,22.342113
17050,59660,113.43802,22.363472
17254,59735,113.395238,22.337507
17468,59747,113.389002,22.355622
17673,59787,113.474958,22.362725
17876,59855,113.44514,22.329055
18080,59870,113.451778,22.318963
18283,59897,113.436328,22.367022
18486,59969,113.476333,22.345317
18690,59970,113.436393,22.365285
