,1-ID,longtitude,magtitude
0,11443,113.231567,22.657578
206,11444,113.231985,22.658692
415,11445,113.23216200000002,22.657777
619,11446,113.231393,22.658298
822,11447,113.251052,22.617093
1032,11448,113.251018,22.618067
1245,11449,113.251602,22.617597
1457,11450,113.250765,22.617588
1669,11451,113.237495,22.682607
1877,11452,113.236568,22.682945
2087,11453,113.24045,22.678093
2291,11455,113.254075,22.581528
2495,11457,113.254052,22.581365
2699,11458,113.235753,22.64453
2902,11459,113.236282,22.64494
3108,11460,113.236292,22.644548
3313,11461,113.235758,22.645062
3517,11462,113.232092,22.668018
3720,11463,113.232347,22.667767
3923,11464,113.23274,22.667817000000007
4126,11465,113.232633,22.668178
4335,11466,113.251393,22.67777
4990,11467,113.252228,22.677142
5190,11468,113.272918,22.649187
5393,11469,113.269987,22.65278
5596,11470,113.267162,22.654907
5800,11471,113.248822,22.60981
6004,11472,113.251442,22.600313
6207,11473,113.260108,22.63547
6410,11474,113.254848,22.625807
6613,11475,113.26253,22.586947
6816,11476,113.273522,22.590268
7022,11477,113.287985,22.587033
7226,11478,113.247613,22.618332
7429,11479,113.252785,22.600432
7632,11481,113.200895,22.6775
7837,11482,113.25153,22.57997
8043,11483,113.218783,22.634473
8246,11484,113.21505,22.631698
8450,11485,113.262123,22.652975
8654,11486,113.246857,22.667607
8857,11487,113.255302,22.655325
9060,11488,113.243635,22.649422
9263,11489,113.251145,22.662113
9467,11490,113.23091200000002,22.689387
9670,11493,113.228642,22.670337
9874,11496,113.259347,22.662958
10081,11498,113.229657,22.66368
10285,11499,113.232698,22.66071
10489,11500,113.234163,22.662438
10694,11501,113.234812,22.655372
10898,11502,113.214867,22.697685
11101,11503,113.228648,22.696243
11304,11504,113.240713,22.684927
11532,11505,113.224227,22.689543
11735,11506,113.212112,22.680237
11938,11507,113.213023,22.679877
12395,11508,113.242757,22.68033
12599,11509,113.21297,22.64294
12804,11510,113.241342,22.683488
13014,11511,113.260422,22.596585
13220,11512,113.19815,22.681907
13425,11513,113.267948,22.645552
13628,11515,113.259865,22.641427
13830,11516,113.249493,22.630515
14033,11517,113.25566,22.66981
14239,11518,113.249907,22.681352
14442,11519,113.231355,22.66644
14645,11520,113.222645,22.603695
14848,11521,113.219503,22.600225
15053,11522,113.222763,22.601103
15256,11523,113.217008,22.609107
15459,11524,113.216217,22.612298000000006
15662,11525,113.211657,22.645182
16268,11526,113.251658,22.678597
16471,11528,113.22889,22.677308
16674,11529,113.268803,22.643617000000006
16877,11530,113.227655,22.619398
17080,11531,113.229088,22.608977
17285,11532,113.222858,22.606308
17489,11533,113.249547,22.603555
17693,11534,113.260872,22.58037
17896,11535,113.243585,22.614648000000006
18099,11536,113.270868,22.580692000000006
18303,11537,113.244502,22.613943
18506,11538,113.25778,22.615895
18709,11539,113.221285,22.68736
18912,11540,113.265412,22.591073
19119,11542,113.265028,22.64949
19322,11543,113.264558,22.649713
19526,11544,113.266263,22.651888
20138,11547,113.241883,22.673923
20545,11549,113.245682,22.674797
20748,11550,113.245655,22.674967
21154,11553,113.246602,22.674995000000006
21357,11554,113.24621,22.676067
21561,11555,113.245603,22.675805
21764,11556,113.24428,22.674797
21994,11557,113.244852,22.674705
22197,11558,113.244767,22.673828
22400,11559,113.244832,22.675538
22619,11561,113.253927,22.656858
22822,11562,113.244287,22.674635
23025,11563,113.219528,22.635058
23229,11566,113.2885,22.587533
23432,11603,113.220355,22.688370000000006
23637,31314,113.24591,22.674092
23840,31662,113.266022,22.650257
24045,32346,113.239305,22.677618
