,1-ID,longtitude,magtitude
0,23552,113.467557,22.710822
203,57954,113.46911,22.68027
407,58007,113.398537,22.667728
611,58043,113.428548,22.65568
818,58059,113.46656000000002,22.697683
1034,58075,113.414695,22.667653
1238,58171,113.46258799999998,22.69143
1442,58176,113.42906200000002,22.687027
1646,58202,113.407465,22.651312
1849,58240,113.430852,22.661778
2053,58306,113.42128,22.683932
2257,58353,113.477107,22.682257
2475,58455,113.423653,22.675608
2679,58469,113.418978,22.658898
2891,58491,113.401608,22.67268
3095,58496,113.404182,22.676848
3298,58509,113.39249,22.646537
3501,58542,113.408283,22.657538
3704,58543,113.419565,22.659367
3910,58545,113.425483,22.656018
4113,58549,113.423995,22.687578
4316,58578,113.405025,22.682853
4519,58579,113.43476499999998,22.678537
4722,58580,113.404017,22.670868
4926,58585,113.398097,22.67023
5130,58587,113.393313,22.653808
5333,58588,113.393345,22.66294
5537,58589,113.397888,22.662403
5740,58591,113.41258700000002,22.686505
5946,58613,113.4002,22.669305
6149,58619,113.479413,22.693732
6353,58677,113.419035,22.68372
6556,58697,113.406842,22.674657
6759,58698,113.385548,22.67062
6962,58756,113.472492,22.675903
7165,58782,113.387023,22.655415
7369,58789,113.413833,22.681475
7574,58791,113.3878,22.66049
7830,58828,113.424282,22.666475
8033,58914,113.389455,22.672192000000006
8236,58930,113.382723,22.680313
8442,58989,113.427422,22.64901
8645,59093,113.417707,22.688587
8849,59095,113.441187,22.69806
9458,59099,113.421388,22.688025
9661,59101,113.431052,22.685427
9865,59103,113.416707,22.68739
10068,59140,113.419353,22.675872
10273,59167,113.422112,22.668262
10476,59182,113.395638,22.673203
10679,59229,113.457352,22.683808
10884,59247,113.418862,22.653245
11088,59261,113.428952,22.685015
11291,59285,113.43296,22.703485
11495,59296,113.417267,22.664432
11698,59371,113.458152,22.675175
11903,59384,113.438457,22.68822
12107,59439,113.410903,22.674607
12320,59454,113.405323,22.658603
12523,59476,113.431348,22.66891
12727,59513,113.399693,22.682025
12931,59522,113.467995,22.690175
13136,59524,113.405702,22.684637
13339,59525,113.397248,22.674737
13543,59536,113.426385,22.681697
13747,59572,113.389582,22.681355
13950,59579,113.38708,22.680612
14153,59586,113.40606499999998,22.681793
14356,59593,113.41762,22.690097
14559,59615,113.421153,22.696378
14762,59633,113.42562,22.683607
14969,59676,113.405963,22.678893
15172,59680,113.392643,22.68183
15378,59691,113.402855,22.673765
15581,59784,113.43291200000002,22.687797
15785,59829,113.430725,22.687585
15989,59907,113.41419,22.674122
16193,59936,113.419012,22.687007
16430,59939,113.463208,22.70933
16633,59942,113.454905,22.717767
16836,59957,113.486162,22.692137
17086,59958,113.419152,22.684503
