,1-ID,longtitude,magtitude
0,23584,113.33706200000002,22.705982
812,31899,113.329478,22.698137
1030,31909,113.388003,22.720302
1243,32096,113.36583799999998,22.694662
1461,32183,113.373063,22.69759
1664,32196,113.32361000000002,22.722245
1868,32269,113.318552,22.714235
2088,32271,113.328807,22.720923000000006
2310,57922,113.32438,22.714348
2514,57923,113.371905,22.763063
2718,57944,113.38342,22.697107
2922,57961,113.329745,22.712722
3130,57962,113.420807,22.714757
3333,57971,113.413615,22.725735
3536,57982,113.346293,22.72122
3757,57985,113.336897,22.728843
3969,57993,113.348038,22.71362
4174,58140,113.336345,22.709953
4379,58295,113.333157,22.711503
4582,58307,113.352063,22.753498
4803,58314,113.337693,22.720997
5021,58336,113.331923,22.722315
5242,58471,113.337153,22.726317
5447,58492,113.373433,22.691075
5650,58760,113.347527,22.706235
5854,58774,113.357032,22.687307
6072,58805,113.331577,22.7171
6343,58807,113.373097,22.742617000000006
6548,58877,113.31749,22.741407
6771,58968,113.368482,22.70795
6978,59147,113.40273,22.708115
7183,59183,113.343633,22.737442
7386,59186,113.335853,22.752523
7590,59192,113.369572,22.693138
7795,59198,113.344513,22.697638
7999,59201,113.32466200000002,22.717645
8202,59226,113.422733,22.734475
8405,59276,113.335135,22.72079
8853,59288,113.35841200000002,22.71515
9072,59331,113.33049,22.714265
9275,59348,113.336252,22.71733
9478,59391,113.386778,22.717635
9683,59408,113.365367,22.690053
9913,59463,113.333413,22.705685
10116,59500,113.35121,22.701547
10334,59752,113.345725,22.70484
10959,59795,113.350457,22.755378
11410,59859,113.335995,22.734905
11614,59941,113.321043,22.718425
92826,59501,113.323505,22.718423
136621,59019,113.34916,22.70827
