,1-ID,longtitude,magtitude
0,11600,113.352475,22.489208
204,30779,113.280257,22.721448
407,30789,113.307225,22.714872
618,30806,113.285092,22.719807
821,37378,113.308948,22.71123
1024,57957,113.314858,22.7392
1630,57958,113.282548,22.72073
1833,57960,113.278222,22.71806
2036,57968,113.30688700000002,22.709567
2240,57987,113.285197,22.733005
2443,58206,113.300405,22.697093
2647,58284,113.28412,22.715282
2852,58385,113.30726,22.722552
3057,58482,113.299548,22.737872
3462,58895,113.28139,22.712023
3665,58932,113.291577,22.711
3869,59115,113.31718,22.6995
4072,59121,113.305992,22.699727
4275,59134,113.313762,22.708043
4478,59159,113.314153,22.7236
4681,59244,113.306322,22.707712
4920,59248,113.2781,22.713255
5124,59272,113.27981,22.716553
5327,59280,113.26908,22.728845
5532,59289,113.27688700000002,22.727887
5735,59294,113.318213,22.730970000000006
5938,59314,113.295758,22.70795
6141,59734,113.280103,22.716012
6345,59758,113.268825,22.728598
6548,59768,113.290978,22.69687
6752,59781,113.278858,22.712362
6955,59800,113.299733,22.702983
7159,59840,113.31344,22.714143
7365,59850,113.286225,22.731057
7569,59923,113.314707,22.72677
7803,59928,113.283547,22.715375
