,1-ID,longtitude,magtitude
0,23545,113.30003700000002,22.51287
609,23548,113.296985,22.515157
813,23550,113.320323,22.527972
1072,23577,113.306895,22.504892
1276,23580,113.294475,22.515307
1807,23583,113.307398,22.520917
2010,34002,113.322142,22.530167
2212,36571,113.318733,22.512367
2415,36591,113.3375,22.531065
2619,37390,113.332737,22.49684
2823,57969,113.315672,22.52328
3048,58127,113.308043,22.509405
3253,58141,113.32548,22.511997
3457,58211,113.316232,22.505228
3660,58213,113.29363,22.508448
3864,58218,113.302273,22.511368
4068,58222,113.287078,22.501818
4272,58224,113.296332,22.514487
4475,58225,113.295805,22.53262
4678,58229,113.316485,22.510595
4881,58244,113.301503,22.527192000000007
5084,58253,113.335478,22.528188
5287,58256,113.295903,22.508602
5490,58257,113.327518,22.5237
5693,58270,113.29438799999998,22.527277
5897,58300,113.329473,22.510565
6100,58313,113.314165,22.522387
6303,58316,113.294923,22.516862
6508,58352,113.333992,22.523895
6712,58367,113.288585,22.501857
6916,58372,113.321558,22.511762
7119,58374,113.288925,22.522933
7325,58379,113.295095,22.521392
7565,58391,113.317192,22.510898
7768,58401,113.310625,22.51957
7971,58417,113.312135,22.528995
8174,58439,113.308555,22.508013
8377,58472,113.323898,22.521618
8581,58633,113.338685,22.517252
8786,58640,113.290818,22.493985
8990,58646,113.332917,22.525302
9413,58661,113.333092,22.52238
9616,58757,113.318373,22.492178
9821,58761,113.302005,22.517088
10025,58762,113.302397,22.498620000000006
10155,58772,113.296305,22.531408
10361,58804,113.319303,22.488188
10650,58806,113.305442,22.507435
10854,58836,113.307037,22.526228
11057,58858,113.33286499999998,22.528338
11261,58866,113.295347,22.511698000000006
11465,58867,113.335647,22.528112
11668,58899,113.290555,22.500545
11872,58951,113.30718,22.505772
12075,58954,113.341505,22.499555
12278,58958,113.310295,22.50818
12481,58960,113.322095,22.523373
12684,58967,113.340393,22.503733
12887,58970,113.300327,22.507923
13090,59001,113.29567,22.518017
13240,59014,113.294663,22.513993
13443,59065,113.329582,22.522635
13646,59080,113.318333,22.524115
13851,59086,113.297317,22.516145
14056,59228,113.29344,22.511695
14259,59264,113.296092,22.536372
14494,59373,113.294367,22.534052
14573,59414,113.29243,22.49772
14776,59415,113.306957,22.509867
14979,59421,113.306943,22.481407
15182,59427,113.315552,22.520228
15387,59453,113.333758,22.514538
15591,59481,113.29975,22.501397
15796,59484,113.312478,22.512888
15999,59504,113.336523,22.516305
16202,59552,113.327823,22.524873
16405,59559,113.313058,22.530825
16608,59561,113.324382,22.490282
16812,59570,113.325647,22.523752
17015,59571,113.296323,22.51243
17218,59600,113.295248,22.514813
17422,59607,113.295318,22.513758
17629,59666,113.322622,22.488973
17832,59776,113.330233,22.49084
18035,59786,113.276628,22.498183
18237,59809,113.322263,22.520268
18843,59810,113.334315,22.512558
19046,59833,113.303168,22.543878
19249,59848,113.28645,22.489138
19452,59858,113.30093,22.520777
19658,59862,113.328097,22.528392
19861,59863,113.292818,22.512057
20064,59940,113.32584,22.52088
20268,59948,113.291943,22.515095
20472,59956,113.325623,22.494657
20675,59964,113.30557,22.501163
