,1-ID,longtitude,magtitude
0,30785,113.266792,22.679577
204,30788,113.230137,22.705878
408,30791,113.257312,22.720093
611,30793,113.229805,22.71937
814,30795,113.30511,22.680965
1017,30798,113.299797,22.671017000000006
1428,30816,113.30904,22.643407
1631,30831,113.242293,22.691885
1835,31031,113.255407,22.711067
2045,31040,113.256588,22.700505
2248,31044,113.253435,22.69953
2452,31045,113.22911299999998,22.716453
2656,31049,113.247487,22.692758
2860,33751,113.228848,22.701473
3063,33753,113.253022,22.732935
3188,36587,113.269052,22.71606
3393,37326,113.289867,22.682035
3597,57918,113.255118,22.686063
3800,57945,113.255365,22.706262
4004,57964,113.23283700000002,22.694252
4208,57977,113.274548,22.708258
4411,57984,113.248788,22.73084
4819,58080,113.264267,22.670862
5022,58164,113.272872,22.689465
5225,58371,113.239213,22.696333
5429,58378,113.22713,22.720285
5632,58380,113.275967,22.66971
5836,58388,113.283272,22.683792
6039,58390,113.264523,22.691362
6242,58584,113.230217,22.702662
6482,58630,113.245967,22.704108
6686,58723,113.28087,22.679767
6890,58748,113.276353,22.69726
7093,58753,113.286367,22.669017
7297,58934,113.231575,22.7104
7501,58939,113.287403,22.667657
7717,58941,113.249865,22.730455
7920,59119,113.26064,22.698477
8124,59120,113.245915,22.721588
8328,59131,113.231928,22.714633
8531,59133,113.255418,22.696773
8734,59156,113.253447,22.68391
8949,59157,113.251732,22.69339
9153,59170,113.257023,22.706733
9356,59173,113.241348,22.714087
9559,59188,113.257175,22.688873
9762,59203,113.261287,22.706605
9965,59205,113.261797,22.711097
10170,59304,113.254792,22.731263
10374,59312,113.251173,22.731612
10735,59361,113.22638,22.723755
10938,59440,113.238238,22.724797
11143,59675,113.29563,22.655838
11347,59731,113.270195,22.67413
11551,59842,113.248445,22.698525
11754,59844,113.304842,22.64569
11957,59927,113.23186499999998,22.705253
176887,58508,113.237963,22.709625
