,1-ID,longtitude,magtitude
0,11601,113.384867,22.695667
204,11602,113.371178,22.681420000000006
407,31738,113.387673,22.725428
1240,31740,113.332918,22.714245
1443,31741,113.379892,22.694512
1646,31742,113.334518,22.747597
1849,31743,113.320468,22.716678
2053,31744,113.402252,22.735315
2263,31745,113.333252,22.69144
2466,31746,113.33039,22.719633
3241,31747,113.334335,22.701918
3446,31748,113.329245,22.724088
3650,31749,113.349903,22.749638
3855,31751,113.366958,22.760802
4060,31752,113.36354,22.749378
4263,31753,113.365982,22.74472
4468,31755,113.32619,22.723753
5239,31756,113.329658,22.726155
5442,32430,113.346325,22.751923
5650,32431,113.33623500000002,22.718743
5854,32432,113.367045,22.714837
6057,32433,113.329375,22.709577
6261,32434,113.329648,22.71822
6464,32435,113.388785,22.750358
6667,32437,113.361943,22.725195000000006
6871,32438,113.357988,22.760888
7078,32439,113.33511,22.71432
7281,32440,113.366618,22.740522
7484,32441,113.337372,22.712208
7687,32442,113.331405,22.725837
7891,32443,113.33568,22.722672
8094,32444,113.326133,22.725775
8297,32445,113.332838,22.711257
8501,32446,113.329397,22.739308
8705,32447,113.37703799999998,22.679892
8909,32448,113.347348,22.688487
9113,32449,113.334915,22.718097
9317,32645,113.372192,22.761368
9678,33683,113.341633,22.732777
9881,33684,113.328727,22.708765
10084,33685,113.330588,22.713635
10293,33686,113.319323,22.710802
10496,33687,113.364585,22.71077
10700,33688,113.355915,22.687355
10904,33689,113.35473,22.748795
11119,33690,113.335532,22.712975
11323,33691,113.324863,22.727662
11526,33692,113.358513,22.689967000000006
11729,33693,113.337113,22.725248
11932,33695,113.380527,22.725848000000006
12135,33696,113.36016200000002,22.760392
12340,33697,113.37724,22.717582
12946,33698,113.33963,22.698245
13149,33700,113.328073,22.744113
13387,33701,113.329547,22.712973
13590,33896,113.332045,22.756578
13793,33897,113.366647,22.742777
13996,33898,113.355453,22.756267
14199,33899,113.367287,22.751825
14403,33900,113.352465,22.765943
14606,33901,113.335122,22.703042
14848,33902,113.330462,22.713043
15051,33903,113.33184,22.711735
15254,33904,113.440038,22.730357
15458,33905,113.330805,22.722255
15664,33906,113.395917,22.732517
15869,33907,113.344135,22.703585
16072,33908,113.356748,22.735478
16276,33909,113.382133,22.711297
16897,33910,113.330615,22.753418
17101,33911,113.34235,22.709895
17304,33912,113.35314,22.743575
17512,33913,113.382048,22.693913
17715,33914,113.33959,22.7178
17918,33915,113.324798,22.708772
18121,33916,113.334873,22.709188
18325,33917,113.345242,22.716422
18533,33918,113.350645,22.711818
18736,33919,113.35706299999998,22.685792000000006
18940,33920,113.334122,22.70789
19391,33921,113.384833,22.725763
19597,33922,113.339895,22.71457
19801,33924,113.334665,22.718138
20010,33926,113.327415,22.704162
20134,33927,113.334078,22.751587
20337,33928,113.323237,22.710653
20542,33929,113.33193500000002,22.712748
20745,33930,113.335057,22.72153
20950,33931,113.334943,22.712523
21153,33933,113.366482,22.744582
21380,33935,113.356378,22.692008
21583,35675,113.327762,22.713457
21788,35678,113.387563,22.745167
21991,35679,113.3261,22.726195
22194,35681,113.333705,22.713363
22525,35685,113.320558,22.739055
22730,36758,113.323037,22.716872
