,1-ID,longtitude,magtitude
0,33754,113.286848,22.460178
205,37403,113.282873,22.473007
408,57907,113.282815,22.473888
611,57917,113.254712,22.460353
814,57951,113.261062,22.491722
1017,58008,113.254365,22.456498
1220,58025,113.253263,22.463952
1424,58042,113.273497,22.465257
1628,58068,113.280732,22.467163
1831,58339,113.2923,22.471592
2038,58494,113.286388,22.474278
2242,58495,113.287252,22.463537
2445,58497,113.297948,22.469577
2648,58500,113.283523,22.483885
2851,58504,113.290008,22.456367
3055,58574,113.26668,22.50241
3261,58586,113.26816,22.498152
3464,58608,113.286273,22.471537
3671,58617,113.249498,22.483342
3875,58708,113.286163,22.47645
4080,58722,113.265735,22.493567
4283,58781,113.287745,22.484193
4487,58842,113.273595,22.49044
4690,58918,113.273672,22.456672
4894,58924,113.296937,22.469532
5098,58929,113.27706299999998,22.481697
5301,58937,113.284033,22.457985
5505,58973,113.291355,22.476542
5709,58988,113.284228,22.474563
5912,59160,113.297928,22.471643
6116,59165,113.255902,22.490728
6323,59194,113.290328,22.47857
6526,59202,113.259642,22.459038
6729,59209,113.293935,22.465828
6883,59210,113.259853,22.45804
7088,59215,113.250887,22.470553
7291,59227,113.277905,22.464577
7494,59236,113.275172,22.46521
7697,59243,113.28905,22.467785
7901,59245,113.262133,22.45925
8104,59255,113.277403,22.478223
8308,59320,113.283,22.465037
8512,59349,113.255955,22.484897
8715,59395,113.24413,22.481088
8918,59402,113.296563,22.482428
9149,59407,113.26996,22.462933
9352,59435,113.287067,22.471905
9555,59441,113.264915,22.459443
9758,59442,113.290195,22.46084
9961,59512,113.288637,22.482383
10165,59516,113.272325,22.503943
10368,59526,113.287258,22.480673
10571,59618,113.29433799999998,22.48336
10774,59626,113.267397,22.495613
10977,59627,113.292685,22.481642
11180,59684,113.280692,22.480185
11384,59687,113.298047,22.467835
11589,59744,113.2497,22.462782
11793,59753,113.293188,22.463585
11997,59760,113.258578,22.483973
12200,59761,113.263912,22.465168
12403,59832,113.29697,22.481052
12608,59918,113.269485,22.495445
12811,59926,113.291808,22.4692
13015,59937,113.279305,22.47627
