,1-ID,longtitude,magtitude
0,31039,113.407102,22.48828
203,37349,113.449357,22.393977
407,58009,113.408633,22.486237
610,58208,113.392548,22.444663
813,58271,113.409703,22.492033
1018,58361,113.391293,22.441323
1425,58835,113.38794,22.441688
1629,58847,113.36077,22.444085
1832,58872,113.375487,22.442825
2035,58882,113.406178,22.483503
2238,59057,113.396747,22.445867
2442,59061,113.386552,22.43198
2645,59071,113.418195,22.40603
3254,59234,113.367213,22.441425
3457,59267,113.401812,22.484238
3661,59489,113.360373,22.44015
3864,59535,113.471927,22.41184
4067,59543,113.44445,22.393867
4271,59544,113.383848,22.425472
4474,59550,113.35718500000002,22.445567
4677,59733,113.411535,22.487877
4880,59804,113.358477,22.441533
5083,59874,113.405647,22.480443
5289,59880,113.450117,22.39185
