,1-ID,longtitude,magtitude
0,10493,113.279583,22.630475
203,10494,113.275945,22.629953
406,10495,113.27583,22.628293
610,10496,113.265373,22.619627
813,10497,113.274207,22.62429
1017,10498,113.27044,22.641143
1221,10499,113.269945,22.625702
1425,10500,113.2637,22.627718
1629,10501,113.26758,22.630445
1832,10502,113.271593,22.631713
2035,10503,113.268785,22.636272
2239,10504,113.276453,22.641802
2444,10505,113.281058,22.64001
2649,10506,113.279785,22.63625
2852,10507,113.282225,22.633732
3458,10508,113.272728,22.637245
3661,10509,113.281608,22.628913
3865,10510,113.278298,22.627653
4070,10511,113.280355,22.633013
4273,10512,113.269683,22.627652
4476,10513,113.281652,22.631732
4679,10514,113.281652,22.631918
4882,10515,113.27413500000002,22.63916
5085,10517,113.263963,22.632577
5288,10518,113.261072,22.621920000000006
5491,10519,113.276612,22.625813
5694,10520,113.272417,22.625503
5899,10521,113.275223,22.631853
6102,10522,113.275332,22.634537
6306,10523,113.27298799999998,22.640798
6509,10524,113.291187,22.616452
6713,10525,113.290943,22.614227
6917,10526,113.294477,22.621738
7124,10527,113.299238,22.625697
7328,10528,113.300095,22.61833
7531,10529,113.301373,22.620428
7734,10530,113.289745,22.621212
7937,10532,113.29026,22.621102
8154,10533,113.291975,22.617857
8357,10537,113.298565,22.611958
8562,10538,113.296725,22.619067
8765,10539,113.296208,22.623415
9318,10540,113.302062,22.62959
9521,10541,113.300565,22.627015
9725,10542,113.29889,22.621992
9932,10543,113.290012,22.615233
10135,10544,113.293832,22.620888
10339,10545,113.297162,22.613753
10542,10546,113.301493,22.616702
10750,10547,113.28955,22.61409
10954,10548,113.305327,22.61189
11160,10549,113.291167,22.620395
11364,10550,113.293898,22.617403
11571,10551,113.29219,22.61824
11776,10552,113.285098,22.623957
11855,10554,113.281582,22.64234
12059,10555,113.278993,22.644192
12262,10556,113.279237,22.645763
12466,10557,113.276402,22.643972
12669,10558,113.271855,22.648193
12872,10559,113.272955,22.650283
13077,10560,113.274563,22.654238
13282,10561,113.279787,22.650678
13485,10563,113.282307,22.647952
13688,10564,113.282043,22.639
13891,10565,113.282847,22.635483
14099,10566,113.287492,22.634783
14304,10567,113.29218,22.62875
14507,10568,113.29398,22.630887
14710,10569,113.295417,22.624712
14910,10570,113.295185,22.624263
15114,10571,113.29103700000002,22.623392000000006
15317,10572,113.288852,22.625627
15522,10573,113.285227,22.624625
15725,10574,113.285518,22.624155
15929,10575,113.282397,22.631785
16132,10576,113.296712,22.629148
16335,10577,113.29291,22.6373
16539,10578,113.28898999999998,22.621763
17145,10579,113.28405,22.630383
17690,10580,113.273482,22.643087
17899,10581,113.275132,22.647188
18103,10582,113.276868,22.64592
18309,10584,113.315092,22.624598
18514,10585,113.310537,22.62787
18717,10586,113.318718,22.628107
18920,10587,113.321127,22.633833
19123,10588,113.32442,22.633985
19330,10589,113.325648,22.634837
19533,10590,113.3085,22.623163
19737,10591,113.306175,22.623448
20145,10593,113.306727,22.617033
20349,10594,113.304017,22.620752
20553,10595,113.310002,22.62861
20757,10596,113.282087,22.62351
20960,10597,113.28368,22.623788
21039,10598,113.261308,22.617825
21242,10599,113.283925,22.621318
21445,10600,113.287788,22.62094
21648,10601,113.28833,22.620197
21852,10602,113.26686,22.616068
22057,10603,113.278627,22.620035
22262,10604,113.28028700000002,22.617622
22466,10605,113.277828,22.615652
22669,10606,113.272283,22.607718
22873,10607,113.259128,22.604353
23077,10608,113.260707,22.611037
23280,10609,113.263703,22.61702
23482,10610,113.265717,22.6134
23685,10611,113.274645,22.616587
23888,10612,113.286072,22.622087
24093,10613,113.279508,22.624283
24296,10614,113.279608,22.624028
24499,10615,113.285777,22.620813
24703,10616,113.283783,22.622885
24907,10617,113.259908,22.618295
25135,10618,113.287247,22.622255
25338,10619,113.283578,22.619143
25542,10620,113.284053,22.618862
25745,10621,113.286923,22.61957
25948,10622,113.28812,22.6043
26151,10623,113.288348,22.600692
26559,10625,113.282862,22.606302
26764,10626,113.295472,22.605595
26967,10627,113.297548,22.610832
27171,10628,113.291003,22.609843
27374,10629,113.290815,22.609185
27577,10630,113.288412,22.612042
27783,10631,113.29555,22.610865
27987,10632,113.286138,22.617032
28192,10633,113.278437,22.598233
28865,10634,113.276592,22.595448
29068,10635,113.273362,22.59251
29273,10636,113.265432,22.595035
29478,10637,113.269805,22.597582
29682,10638,113.265792,22.603762
29885,10639,113.270407,22.596517
30088,10640,113.281967,22.603545
30291,10641,113.281003,22.596602
30495,10642,113.299133,22.550988
30698,10643,113.308233,22.589513
32226,10644,113.31319,22.563807
32433,10645,113.296472,22.540813
32636,10646,113.308423,22.587648
32840,10647,113.312592,22.58553
33045,10648,113.309892,22.583235
33248,10649,113.309013,22.589595000000006
33719,10650,113.299013,22.593913
33923,10651,113.302532,22.6014
34126,10652,113.309737,22.591663
34533,10654,113.312965,22.585823
34738,10655,113.315848,22.588055
34941,10656,113.318772,22.587253
35145,10657,113.32665,22.589063
35348,10658,113.346433,22.60252
35551,10659,113.328708,22.597467
35757,10661,113.319433,22.589942
35960,10662,113.30815,22.590347
36368,10664,113.262608,22.569038
36819,10665,113.260723,22.556045
37022,10666,113.256297,22.569943
37226,10667,113.25873,22.576935
37429,10668,113.271515,22.575655
37633,10669,113.271705,22.568192
37836,10670,113.318588,22.604332
38039,10671,113.332365,22.623272
38242,10672,113.345353,22.631248
38445,10673,113.327568,22.612672
38650,10674,113.33328,22.60346
39259,10675,113.353125,22.625468
39462,10676,113.278725,22.546413
39665,10677,113.286058,22.5657
39868,10678,113.301025,22.587155
40071,10679,113.32245,22.62893
40280,10680,113.324503,22.627067
40483,10681,113.328858,22.62752
40686,10682,113.304378,22.605385
40889,10683,113.295172,22.590223
41093,10684,113.279527,22.590773
41296,10685,113.279143,22.588942000000007
41502,10686,113.281142,22.621075
41707,10687,113.306652,22.59636
41914,10688,113.274738,22.624767
42119,10689,113.27858700000002,22.607535
42326,10690,113.282665,22.631773000000006
42732,10693,113.284123,22.618855
