ID,7-温度过高,8-温度预警,15-箱门告警,16-防雷告警,18-风扇故障,19-网络设备异常,20-视频1网络异常,21-补光灯异常开启,22-补光灯异常关闭,23-视频2网络异常,24-视频3网络异常,25-视频4网络异常,26-视频5网络异常,27-视频6网络异常,28-温度低,29-监控网络连接异常,30-市电异常
10078.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10079.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10080.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.0
10081.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10082.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10084.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10085.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10086.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.0
10087.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10088.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10089.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10090.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10091.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10092.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10093.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10094.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10095.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10096.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10097.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10098.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10099.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10100.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10101.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10102.0,None,None,3187.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10103.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10104.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10105.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10106.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10107.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10109.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10110.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10111.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10112.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10114.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10115.0,None,None,3178.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10116.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10117.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10118.0,None,None,3184.0,None,3184.0,None,None,None,None,None,None,None,None,None,None,None,None
10119.0,None,None,None,3187.0,None,None,None,None,None,None,None,None,None,None,None,None,None
10120.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10121.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10122.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10123.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10124.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10125.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
